# Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
0.000	-0.118	0.0	0.0
0.010	-0.116	0.438	9.646E-3
0.020	-0.110	0.555	1.545E-2
0.030	-0.105	0.526	1.387E-2
0.040	-9.906E-2	0.672	2.262E-2
0.050	-9.146E-2	1.052	5.549E-2
0.060	-7.802E-2	1.344	9.036E-2
0.070	-6.458E-2	1.373	9.446E-2
0.080	-5.056E-2	1.373	9.433E-2
0.090	-3.712E-2	1.490	0.111
0.100	-2.076E-2	1.636	0.135
0.110	-4.394E-3	1.549	0.121
0.120	1.021E-2	1.461	0.108
0.130	2.482E-2	1.519	0.116
0.140	4.060E-2	1.432	0.103
0.150	5.346E-2	1.315	8.660E-2
0.160	6.690E-2	1.081	5.882E-2
0.170	7.508E-2	0.877	3.880E-2
0.180	8.443E-2	0.818	3.415E-2
0.190	9.144E-2	0.584	1.861E-2
0.200	9.611E-2	0.409	9.049E-3
0.210	9.962E-2	0.263	4.524E-3
0.220	0.101	5.844E-2	8.537E-4
0.230	0.101	-0.205	2.091E-3
0.240	9.728E-2	-0.438	9.646E-3
0.250	9.202E-2	-0.730	2.736E-2
0.260	8.267E-2	-0.877	3.880E-2
0.270	7.449E-2	-0.906	4.106E-2
0.280	6.456E-2	-1.052	5.549E-2
0.290	5.346E-2	-1.198	7.179E-2
0.300	4.060E-2	-1.344	9.036E-2
0.310	2.658E-2	-1.432	0.103
0.320	1.197E-2	-1.432	0.103
0.330	-2.057E-3	-1.549	0.120
0.340	-1.900E-2	-1.607	0.129
0.350	-3.420E-2	-1.373	9.429E-2
0.360	-4.647E-2	-1.432	0.103
0.370	-6.283E-2	-1.373	9.446E-2
0.380	-7.393E-2	-1.139	6.496E-2
0.390	-8.562E-2	-1.081	5.882E-2
0.400	-9.555E-2	-0.906	4.170E-2
0.410	-0.104	-0.730	2.668E-2
0.420	-0.110	-0.497	1.234E-2
0.430	-0.114	-0.351	6.189E-3
0.440	-0.117	-0.205	2.134E-3
0.450	-0.118	0.146	1.110E-3
0.460	-0.114	0.321	5.207E-3
0.470	-0.111	0.467	1.093E-2
0.480	-0.105	0.672	2.262E-2
0.490	-9.789E-2	0.818	3.351E-2
0.500	-8.854E-2	1.023	5.233E-2
0.510	-7.744E-2	1.286	8.281E-2
0.520	-6.283E-2	1.344	9.032E-2
0.530	-5.056E-2	1.402	9.834E-2
0.540	-3.478E-2	1.519	0.116
0.550	-2.017E-2	1.402	9.838E-2
0.560	-6.731E-3	1.578	0.124
0.570	1.138E-2	1.549	0.120
0.580	2.424E-2	1.373	9.433E-2
0.590	3.885E-2	1.373	9.433E-2
0.600	5.170E-2	1.315	8.682E-2
0.610	6.514E-2	1.139	6.531E-2
0.620	7.449E-2	0.993	4.951E-2
0.630	8.501E-2	0.877	3.859E-2
0.640	9.202E-2	0.643	2.104E-2
0.650	9.787E-2	0.526	1.421E-2
0.660	0.103	0.321	5.207E-3
0.670	0.104	5.844E-2	2.134E-4
0.680	0.104	-0.234	2.902E-3
0.690	9.962E-2	-0.409	9.049E-3
0.700	9.553E-2	-0.497	1.340E-2
0.710	8.969E-2	-0.730	2.774E-2
0.720	8.092E-2	-1.052	5.570E-2
0.730	6.865E-2	-1.198	7.179E-2
0.740	5.696E-2	-1.169	6.834E-2
0.750	4.528E-2	-1.344	9.070E-2
0.760	3.008E-2	-1.432	0.103
0.770	1.664E-2	-1.256	7.896E-2
0.780	4.956E-3	-1.519	0.116
0.790	-1.374E-2	-1.607	0.129
0.800	-2.718E-2	-1.344	9.036E-2
0.810	-4.062E-2	-1.402	9.834E-2
0.820	-5.523E-2	-1.373	9.429E-2
0.830	-6.809E-2	-1.286	8.281E-2
0.840	-8.094E-2	-1.139	6.496E-2
0.850	-9.088E-2	-0.906	4.106E-2
0.860	-9.906E-2	-0.789	3.116E-2
0.870	-0.107	-0.584	1.746E-2
0.880	-0.111	-0.351	7.213E-3
0.890	-0.114	-0.205	2.476E-3
0.900	-0.115	0.000	0.000
0.910	-0.114	0.234	3.415E-3
0.920	-0.110	0.409	9.902E-3
0.930	-0.105	0.614	1.989E-2
0.940	-9.789E-2	0.760	2.954E-2
0.950	-9.029E-2	1.023	5.335E-2
0.960	-7.744E-2	1.198	7.282E-2
0.970	-6.634E-2	1.139	6.646E-2
0.980	-5.465E-2	1.315	8.797E-2
0.990	-4.004E-2	1.402	9.941E-2
1.000	-2.660E-2	1.519	0.117
1.010	-9.653E-3	1.461	0.108
1.020	2.618E-3	1.432	0.104
1.030	1.898E-2	1.578	0.126
1.040	3.417E-2	1.373	9.467E-2
1.050	4.644E-2	1.169	6.868E-2
1.060	5.755E-2	1.139	6.599E-2
1.070	6.923E-2	1.023	5.382E-2
1.080	7.800E-2	0.906	4.170E-2
1.090	8.735E-2	0.672	2.262E-2
