Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
0.000	-5.646E-2	1.791E-2		
0.010	-5.454E-2	1.791E-2	0.240	7.802E-3
0.020	-5.166E-2	1.791E-2	0.433	2.528E-2
0.030	-4.589E-2	1.791E-2	0.529	3.776E-2
0.040	-4.108E-2	1.791E-2	0.481	3.121E-2
0.050	-3.627E-2	1.791E-2	0.625	5.306E-2
0.060	-2.858E-2	1.694E-2	0.769	8.021E-2
0.070	-2.088E-2	1.694E-2	0.673	6.117E-2
0.080	-1.511E-2	1.694E-2	0.721	7.053E-2
0.090	-6.460E-3	1.791E-2	0.625	5.306E-2
0.100	-2.613E-3	1.791E-2	0.577	4.525E-2
0.110	5.080E-3	1.887E-2	0.721	7.147E-2
0.120	1.181E-2	1.983E-2	0.625	5.306E-2
0.130	1.758E-2	1.983E-2	0.721	7.053E-2
0.140	2.624E-2	2.079E-2	0.673	6.148E-2
0.150	3.104E-2	2.079E-2	0.481	3.152E-2
0.160	3.585E-2	2.175E-2	0.577	4.619E-2
0.170	4.258E-2	2.271E-2	0.529	3.808E-2
0.180	4.643E-2	2.271E-2	0.673	6.148E-2
0.190	5.605E-2	2.367E-2	0.673	6.242E-2
0.200	5.989E-2	2.464E-2	0.385	2.278E-2
0.210	6.374E-2	2.656E-2	0.385	2.278E-2
0.220	6.759E-2	2.752E-2	0.288	1.404E-2
0.230	6.951E-2	2.944E-2	0.192	7.802E-3
0.240	7.143E-2	3.041E-2	0.192	5.306E-3
0.250	7.336E-2	3.041E-2	0.288	1.124E-2
0.260	7.720E-2	3.041E-2	0.337	1.654E-2
0.270	8.009E-2	3.233E-2	0.144	4.057E-3
0.280	8.009E-2	3.233E-2	0.000	1.248E-3
0.290	8.009E-2	3.425E-2	0.000	1.124E-2
0.300	8.009E-2	3.810E-2	0.000	7.802E-3
0.310	8.009E-2	3.906E-2	-0.144	3.121E-3
0.320	7.720E-2	3.906E-2	-0.288	1.155E-2
0.330	7.432E-2	4.002E-2	-0.192	5.306E-3
0.340	7.336E-2	4.002E-2	-0.144	2.809E-3
0.350	7.143E-2	4.002E-2	-0.288	1.124E-2
0.360	6.759E-2	4.002E-2	-0.481	3.121E-2
0.370	6.182E-2	4.002E-2	-0.577	4.619E-2
0.380	5.605E-2	4.195E-2	-0.481	3.246E-2
0.390	5.220E-2	4.195E-2	-0.481	3.121E-2
0.400	4.643E-2	4.195E-2	-0.577	4.494E-2
0.410	4.066E-2	4.195E-2	-0.433	2.528E-2
0.420	3.778E-2	4.195E-2	-0.433	2.559E-2
0.430	3.201E-2	4.291E-2	-0.625	5.399E-2
0.440	2.527E-2	4.387E-2	-0.673	6.242E-2
0.450	1.854E-2	4.483E-2	-0.625	5.274E-2
0.460	1.277E-2	4.387E-2	-0.577	4.525E-2
0.470	7.003E-3	4.387E-2	-0.625	5.274E-2
0.480	2.718E-4	4.387E-2	-0.673	6.148E-2
0.490	-6.460E-3	4.291E-2	-0.577	4.525E-2
0.500	-1.127E-2	4.291E-2	-0.721	7.022E-2
0.510	-2.088E-2	4.291E-2	-0.673	6.117E-2
0.520	-2.473E-2	4.291E-2	-0.481	3.121E-2
0.530	-3.050E-2	4.291E-2	-0.577	4.525E-2
0.540	-3.627E-2	4.387E-2	-0.529	3.808E-2
0.550	-4.108E-2	4.387E-2	-0.481	3.121E-2
0.560	-4.589E-2	4.387E-2	-0.529	3.808E-2
0.570	-5.166E-2	4.291E-2	-0.385	2.122E-2
0.580	-5.358E-2	4.195E-2	-0.240	8.114E-3
0.590	-5.646E-2	4.195E-2	-0.385	2.122E-2
0.600	-6.127E-2	4.002E-2	-0.337	1.810E-2
0.610	-6.320E-2	3.906E-2	-0.192	6.242E-3
0.620	-6.512E-2	3.810E-2	-0.144	3.121E-3
0.630	-6.608E-2	3.810E-2	-9.616E-2	2.497E-3
0.640	-6.704E-2	3.618E-2	0.000	2.809E-3
0.650	-6.608E-2	3.521E-2	0.192	5.306E-3
0.660	-6.320E-2	3.521E-2	0.288	1.155E-2
0.670	-6.031E-2	3.425E-2	0.288	1.248E-2
0.680	-5.743E-2	3.329E-2	0.144	3.121E-3
0.690	-5.743E-2	3.329E-2	9.616E-2	1.560E-3
0.700	-5.550E-2	3.233E-2	0.192	6.242E-3
0.710	-5.358E-2	3.137E-2	0.433	2.653E-2
0.720	-4.685E-2	3.041E-2	0.385	2.029E-2
0.730	-4.589E-2	3.041E-2	0.192	4.994E-3
0.740	-4.300E-2	3.041E-2	0.385	1.997E-2
0.750	-3.819E-2	3.041E-2	0.529	3.901E-2
0.760	-3.242E-2	2.848E-2	0.529	3.901E-2
0.770	-2.762E-2	2.848E-2	0.673	6.242E-2
0.780	-1.896E-2	2.656E-2	0.721	7.147E-2
0.790	-1.319E-2	2.656E-2	0.817	9.144E-2
0.800	-2.613E-3	2.464E-2	0.769	8.114E-2
0.810	2.195E-3	2.464E-2	0.673	6.242E-2
0.820	1.085E-2	2.271E-2	0.577	4.619E-2
0.830	1.373E-2	2.271E-2	0.481	3.152E-2
0.840	2.047E-2	2.175E-2	0.673	6.148E-2
0.850	2.720E-2	2.175E-2	0.625	5.274E-2
0.860	3.297E-2	2.175E-2	0.769	8.021E-2
0.870	4.258E-2	2.079E-2	0.625	5.306E-2
0.880	4.547E-2	2.079E-2	0.385	1.997E-2
0.890	5.028E-2	2.079E-2	0.529	3.776E-2
0.900	5.605E-2	2.079E-2	0.673	6.117E-2
0.910	6.374E-2	2.079E-2	0.673	6.117E-2
0.920	6.951E-2	2.079E-2	0.385	1.997E-2
0.930	7.143E-2	2.079E-2	0.192	5.306E-3
0.940	7.336E-2	1.983E-2	0.385	2.029E-2
0.950	7.913E-2	1.983E-2	0.481	3.121E-2
0.960	8.297E-2	1.983E-2	0.192	6.242E-3
0.970	8.297E-2	2.175E-2	0.000	2.809E-3
0.980	8.297E-2	2.271E-2	0.000	3.121E-4
0.990	8.297E-2	2.271E-2	0.000	0.000
1.000	8.297E-2	2.271E-2	0.000	0.000
1.010	8.297E-2	2.271E-2	-9.616E-2	1.560E-3
1.020	8.105E-2	2.367E-2	-0.192	5.306E-3
1.030	7.913E-2	2.367E-2	-0.288	1.404E-2
1.040	7.528E-2	2.656E-2	-0.385	2.278E-2
1.050	7.143E-2	2.656E-2	-0.337	1.529E-2
1.060	6.855E-2	2.656E-2	-0.481	3.121E-2
1.070	6.182E-2	2.656E-2	-0.481	3.121E-2
1.080	5.893E-2	2.656E-2	-0.288	1.124E-2
1.090	5.605E-2	2.656E-2	-0.288	1.155E-2
1.100	5.316E-2	2.752E-2	-0.385	2.029E-2
1.110	4.835E-2	2.752E-2	-0.529	3.776E-2
1.120	4.258E-2	2.752E-2	-0.577	4.494E-2
1.130	3.681E-2	2.752E-2	-0.577	4.525E-2
1.140	3.104E-2	2.848E-2	-0.817	9.300E-2
1.150	2.047E-2	3.041E-2	-0.769	8.271E-2
1.160	1.566E-2	3.137E-2	-0.577	4.525E-2
1.170	8.926E-3	3.137E-2	-0.625	5.399E-2
1.180	3.157E-3	3.329E-2	-0.673	6.398E-2
1.190	-4.536E-3	3.425E-2	-0.625	5.306E-2
1.200	-9.344E-3	3.425E-2	-0.577	4.619E-2
1.210	-1.608E-2	3.618E-2	-0.577	4.775E-2
1.220	-2.088E-2	3.714E-2	-0.529	3.901E-2
1.230	-2.665E-2	3.810E-2	-0.481	3.246E-2
1.240	-3.050E-2	3.521E-2	-0.481	3.121E-2
1.250	-3.627E-2	3.810E-2	-0.625	6.055E-2
1.260	-4.300E-2	4.002E-2	-0.577	4.994E-2
1.270	-4.781E-2	4.195E-2	-0.529	4.276E-2
1.280	-5.358E-2	4.387E-2	-0.577	4.775E-2
1.290	-5.935E-2	4.483E-2	-0.385	2.122E-2
1.300	-6.127E-2	4.579E-2	-9.616E-2	1.560E-3
1.310	-6.127E-2	4.579E-2	-0.192	4.994E-3
1.320	-6.512E-2	4.579E-2	-0.192	4.994E-3
1.330	-6.512E-2	4.579E-2	-9.616E-2	1.248E-3
1.340	-6.704E-2	4.579E-2	-9.616E-2	1.248E-3
1.350	-6.704E-2	4.579E-2	0.000	2.809E-3
1.360	-6.704E-2	4.868E-2	0.000	2.809E-3
1.370	-6.704E-2	4.868E-2	9.616E-2	1.248E-3
1.380	-6.512E-2	4.868E-2	0.240	7.802E-3
1.390	-6.223E-2	4.868E-2	0.337	1.529E-2
1.400	-5.839E-2	4.868E-2	0.529	3.808E-2
1.410	-5.166E-2	4.772E-2	0.481	3.152E-2
1.420	-4.877E-2	4.772E-2	0.337	1.560E-2
1.430	-4.492E-2	4.868E-2	0.385	2.122E-2
1.440	-4.108E-2	4.964E-2	0.337	1.560E-2
1.450	-3.819E-2	4.964E-2	0.433	2.528E-2
1.460	-3.242E-2	4.964E-2	0.385	1.997E-2
1.470	-3.050E-2	4.964E-2	0.385	1.997E-2
1.480	-2.473E-2	4.964E-2	0.625	5.274E-2
1.490	-1.800E-2	4.964E-2	0.721	7.022E-2
1.500	-1.031E-2	4.964E-2	0.625	5.274E-2
1.510	-5.498E-3	4.964E-2	0.673	6.148E-2
1.520	3.157E-3	4.868E-2	0.865	0.102
1.530	1.181E-2	4.772E-2	0.673	6.398E-2
1.540	1.662E-2	4.579E-2	0.481	3.246E-2
1.550	2.143E-2	4.579E-2	0.529	3.901E-2
1.560	2.720E-2	4.387E-2	0.817	9.144E-2
1.570	3.778E-2	4.387E-2	0.721	7.022E-2
1.580	4.162E-2	4.387E-2	0.433	2.559E-2
1.590	4.643E-2	4.291E-2	0.529	3.808E-2
1.600	5.220E-2	4.291E-2	0.673	6.148E-2
1.610	5.989E-2	4.195E-2	0.673	6.148E-2
1.620	6.566E-2	4.195E-2	0.433	2.653E-2
1.630	6.855E-2	4.002E-2	0.288	1.248E-2
1.640	7.143E-2	4.002E-2	0.433	2.559E-2
1.650	7.720E-2	3.906E-2	0.481	3.620E-2
1.660	8.105E-2	3.618E-2	0.385	2.778E-2
1.670	8.489E-2	3.425E-2	0.192	7.802E-3
1.680	8.489E-2	3.329E-2	4.808E-2	6.242E-4
1.690	8.586E-2	3.329E-2	0.000	2.809E-3
1.700	8.489E-2	3.041E-2	-4.808E-2	3.121E-3
1.710	8.489E-2	3.041E-2	0.000	0.000
1.720	8.489E-2	3.041E-2	-4.808E-2	3.121E-4
1.730	8.393E-2	3.041E-2	-0.192	4.994E-3
1.740	8.105E-2	3.041E-2	-0.288	1.155E-2
1.750	7.816E-2	2.944E-2	-0.192	6.242E-3
1.760	7.720E-2	2.848E-2	-0.240	8.114E-3
1.770	7.336E-2	2.848E-2	-0.433	2.559E-2
1.780	6.855E-2	2.752E-2	-0.385	2.122E-2
1.790	6.566E-2	2.656E-2	-0.192	5.306E-3
1.800	6.470E-2	2.656E-2	-0.385	1.997E-2
1.810	5.797E-2	2.656E-2	-0.529	3.776E-2
1.820	5.412E-2	2.656E-2	-0.433	2.559E-2
1.830	4.931E-2	2.752E-2	-0.721	7.147E-2
1.840	3.970E-2	2.848E-2	-0.721	7.802E-2
1.850	3.489E-2	2.271E-2	-0.529	4.900E-2
1.860	2.912E-2	2.271E-2	-0.577	4.619E-2
1.870	2.335E-2	2.464E-2	-0.481	3.246E-2
1.880	1.950E-2	2.464E-2	-0.673	6.398E-2
