#Time (s)	Position (m)	Velocity (ms^-1)
0.000	-5.300E-2	0.0
0.010	-5.021E-2	0.325
0.020	-4.650E-2	0.325
0.030	-4.371E-2	0.418
0.040	-3.814E-2	0.511
0.050	-3.349E-2	0.465
0.060	-2.884E-2	0.465
0.070	-2.420E-2	0.465
0.080	-1.955E-2	0.465
0.090	-1.491E-2	0.511
0.100	-9.332E-3	0.465
0.110	-5.615E-3	0.465
0.120	-4.040E-5	0.511
0.130	4.605E-3	0.372
0.140	7.393E-3	0.418
0.150	1.297E-2	0.465
0.160	1.668E-2	0.418
0.170	2.133E-2	0.557
0.180	2.783E-2	0.511
0.190	3.155E-2	0.279
0.200	3.341E-2	0.279
0.210	3.713E-2	0.372
0.220	4.084E-2	0.325
0.230	4.363E-2	0.232
0.240	4.549E-2	0.279
0.250	4.920E-2	0.186
0.260	4.920E-2	0.000
0.270	4.920E-2	9.291E-2
0.280	5.106E-2	9.291E-2
0.290	5.106E-2	0.000
0.300	5.106E-2	0.000
0.310	5.106E-2	0.000
0.320	5.106E-2	0.000
0.330	5.106E-2	-4.646E-2
0.340	5.013E-2	-4.646E-2
0.350	5.013E-2	0.000
0.360	5.013E-2	-0.186
0.370	4.642E-2	-0.279
0.380	4.456E-2	-0.279
0.390	4.084E-2	-0.372
0.400	3.713E-2	-0.372
0.410	3.341E-2	-0.372
0.420	2.969E-2	-0.418
0.430	2.505E-2	-0.465
0.440	2.040E-2	-0.465
0.450	1.575E-2	-0.325
0.460	1.390E-2	-0.325
0.470	9.251E-3	-0.511
0.480	3.676E-3	-0.604
0.490	-2.828E-3	-0.465
0.500	-5.615E-3	-0.418
0.510	-1.119E-2	-0.511
0.520	-1.584E-2	-0.372
0.530	-1.862E-2	-0.465
0.540	-2.513E-2	-0.465
0.550	-2.791E-2	-0.372
0.560	-3.256E-2	-0.372
0.570	-3.535E-2	-0.418
0.580	-4.092E-2	-0.372
0.590	-4.278E-2	-0.186
0.600	-4.464E-2	-0.372
0.610	-5.021E-2	-0.279
0.620	-5.021E-2	-0.139
0.630	-5.300E-2	-0.186
0.640	-5.393E-2	-4.646E-2
0.650	-5.393E-2	-4.646E-2
0.660	-5.486E-2	-4.646E-2
0.670	-5.486E-2	0.000
0.680	-5.486E-2	0.000
0.690	-5.486E-2	0.186
0.700	-5.114E-2	0.232
0.710	-5.021E-2	0.139
0.720	-4.836E-2	0.325
0.730	-4.371E-2	0.279
0.740	-4.278E-2	0.372
0.750	-3.628E-2	0.372
0.760	-3.535E-2	0.325
0.770	-2.977E-2	0.465
0.780	-2.606E-2	0.418
0.790	-2.141E-2	0.418
0.800	-1.769E-2	0.697
0.810	-7.474E-3	0.604
0.820	-5.615E-3	0.279
0.830	-1.899E-3	0.511
0.840	4.605E-3	0.604
0.850	1.018E-2	0.511
0.860	1.483E-2	0.418
0.870	1.854E-2	0.325
0.880	2.133E-2	0.465
0.890	2.783E-2	0.604
