#initial-angle1(-30.7)	initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
0	-1.40E-01	1.73E-01	-1.99E-01	-1.19E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.1	-1.39E-01	1.72E-01	-1.98E-01	-1.20E-01	6.90E-03	-5.52E-03	8.28E-03	-6.90E-03
0.2	-1.38E-01	1.71E-01	-1.98E-01	-1.21E-01	1.04E-02	-8.28E-03	1.24E-02	-1.24E-02
0.3	-1.37E-01	1.70E-01	-1.96E-01	-1.22E-01	9.66E-03	-8.97E-03	1.31E-02	-1.79E-02
0.4	-1.36E-01	0.17	-1.95E-01	-1.24E-01	1.45E-02	-9.66E-03	1.52E-02	-2.42E-02
0.5	-1.34E-01	0.169	-1.93E-01	-1.27E-01	2.07E-02	-8.28E-03	6.90E-03	-8.97E-03
0.6	-1.32E-01	1.68E-01	-1.94E-01	-1.26E-01	2.69E-02	-8.28E-03	3.45E-03	-6.21E-03
0.7	-1.29E-01	1.67E-01	-1.92E-01	-1.29E-01	3.42E-02	-6.56E-03	1.10E-02	-2.00E-02
0.8	-1.25E-01	1.67E-01	-0.191	-1.30E-01	4.87E-02	-2.00E-02	1.31E-02	-2.96E-02
0.9	-1.19E-01	1.63E-01	-1.90E-01	-1.34E-01	8.11E-02	-4.49E-02	1.10E-02	-2.99E-02
1	-1.09E-01	1.58E-01	-1.81E-01	-1.48E-01	0.126	-5.69E-02	1.22E-02	-2.30E-02
1.1	-9.39E-02	1.51E-01	-1.71E-01	-1.54E-01	0.16	-6.21E-02	0.113	-4.53E-02
1.2	-7.70E-02	1.45E-01	-1.58E-01	-1.57E-01	0.188	-6.21E-02	0.154	-1.30E-02
1.3	-5.63E-02	1.39E-01	-1.40E-01	-1.57E-01	2.23E-01	-5.52E-02	0.195	1.07E-02
1.4	-3.24E-02	1.34E-01	-1.19E-01	-1.55E-01	2.40E-01	-3.62E-02	2.40E-01	2.37E-02
1.5	-8.28E-03	0.132	-9.18E-02	-1.52E-01	2.14E-01	-1.04E-02	2.83E-01	1.66E-02
1.6	1.04E-02	0.132	-6.24E-02	-1.52E-01	2.05E-01	6.90E-03	0.31	3.45E-03
1.7	3.28E-02	0.133	-2.98E-02	-1.51E-01	2.09E-01	1.90E-02	3.37E-01	-6.21E-03
1.8	5.21E-02	0.136	4.97E-03	-1.53E-01	1.70E-01	2.63E-02	3.51E-01	-2.55E-02
1.9	6.69E-02	1.38E-01	4.03E-02	-1.57E-01	1.34E-01	2.53E-02	3.55E-01	-3.45E-02
2	7.89E-02	1.41E-01	7.59E-02	-1.60E-01	1.01E-01	2.83E-02	3.72E-01	-3.11E-02
2.1	8.71E-02	1.44E-01	1.15E-01	-1.63E-01	5.84E-02	2.10E-02	3.76E-01	-1.59E-02
2.2	9.06E-02	1.45E-01	1.51E-01	-1.63E-01	1.64E-02	2.74E-03	3.57E-01	4.21E-02
2.3	9.04E-02	1.45E-01	1.86E-01	-1.54E-01	-1.74E-02	-7.30E-03	3.00E-01	1.04E-01
2.4	8.71E-02	1.44E-01	2.11E-01	-1.42E-01	-4.29E-02	-1.37E-02	2.29E-01	1.46E-01
2.5	8.18E-02	1.42E-01	2.32E-01	-1.25E-01	-5.39E-02	-1.64E-02	1.72E-01	1.82E-01
2.6	7.64E-02	1.40E-01	2.46E-01	-1.06E-01	-4.93E-02	-1.10E-02	9.80E-02	1.79E-01
2.7	7.20E-02	0.14	2.52E-01	-8.95E-02	-6.57E-02	-1.37E-02	3.18E-02	1.39E-01
2.8	6.32E-02	1.38E-01	2.52E-01	-7.81E-02	-7.40E-02	-1.83E-02	-1.24E-02	1.13E-01
2.9	5.72E-02	1.36E-01	2.49E-01	-6.68E-02	-5.66E-02	-1.00E-02	-5.38E-02	6.63E-02
3	5.19E-02	1.36E-01	2.41E-01	-6.49E-02	-5.57E-02	-9.13E-03	-1.01E-01	-3.04E-02
