#initial-angle1(-52.9)	initial-angle2(-19.3)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
0	-2.16E-01	-1.64E-01	-3.22E-01	-4.35E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.1	-2.08E-01	-1.75E-01	-3.19E-01	-4.47E-01	9.55E-02	-1.27E-01	3.13E-02	-1.64E-01
0.2	-1.97E-01	-1.90E-01	-3.16E-01	-4.68E-01	1.48E-01	-1.68E-01	6.94E-02	-2.15E-01
0.3	-1.79E-01	-2.09E-01	-3.06E-01	-4.90E-01	2.14E-01	-2.02E-01	1.39E-01	-2.48E-01
0.4	-1.54E-01	-0.23	-2.88E-01	-5.18E-01	2.83E-01	-2.06E-01	1.55E-01	-2.08E-01
0.5	-1.22E-01	-0.25	-2.75E-01	-5.32E-01	3.50E-01	-1.86E-01	2.32E-01	-1.34E-01
0.6	-8.38E-02	-2.67E-01	-2.42E-01	-5.44E-01	3.96E-01	-1.43E-01	3.44E-01	-1.03E-01
0.7	-4.29E-02	-2.78E-01	-2.06E-01	-5.52E-01	4.26E-01	-8.04E-02	3.78E-01	-7.32E-02
0.8	1.46E-03	-2.83E-01	-0.166	-5.59E-01	4.04E-01	-1.56E-02	4.40E-01	-5.76E-02
0.9	3.78E-02	-2.82E-01	-1.18E-01	-5.64E-01	3.52E-01	4.16E-02	5.69E-01	-5.74E-02
1	7.20E-02	-2.75E-01	-5.23E-02	-5.70E-01	0.31	7.38E-02	6.94E-01	-3.31E-02
1.1	9.99E-02	-2.67E-01	2.08E-02	-5.70E-01	0.201	6.77E-02	0.564	-8.54E-03
1.2	1.12E-01	-2.62E-01	6.05E-02	-5.72E-01	0.164	7.14E-02	0.551	6.24E-02
1.3	1.33E-01	-2.53E-01	1.31E-01	-5.58E-01	1.60E-01	7.57E-02	0.708	9.47E-02
1.4	1.44E-01	-2.46E-01	2.02E-01	-5.53E-01	9.51E-02	4.83E-02	7.06E-01	9.04E-02
1.5	1.52E-01	-0.243	2.72E-01	-5.40E-01	3.79E-02	1.89E-02	6.44E-01	2.09E-01
1.6	1.52E-01	-0.243	3.31E-01	-5.11E-01	-1.09E-02	-8.52E-03	0.508	3.59E-01
1.7	1.49E-01	-0.245	3.74E-01	-4.68E-01	-2.74E-02	-1.80E-02	3.39E-01	4.55E-01
1.8	1.46E-01	-0.246	3.99E-01	-4.20E-01	-3.60E-02	-1.89E-02	1.64E-01	4.52E-01
1.9	1.42E-01	-2.48E-01	4.07E-01	-3.78E-01	-4.07E-02	-1.85E-02	2.74E-02	3.98E-01
2	1.38E-01	-2.50E-01	4.04E-01	-3.41E-01	-3.97E-02	-1.89E-02	-6.96E-02	3.33E-01
2.1	1.34E-01	-2.52E-01	3.93E-01	-3.11E-01	-4.97E-02	-2.60E-02	-1.42E-01	2.34E-01
2.2	1.28E-01	-2.55E-01	3.76E-01	-2.94E-01	-7.66E-02	-3.79E-02	-1.94E-01	1.28E-01
2.3	1.19E-01	-2.60E-01	3.54E-01	-2.86E-01	-1.12E-01	-5.02E-02	-2.11E-01	3.83E-02
2.4	1.06E-01	-2.65E-01	3.33E-01	-2.86E-01	-1.39E-01	-5.63E-02	-2.17E-01	-5.44E-02
2.5	9.12E-02	-2.71E-01	3.11E-01	-2.96E-01	-1.60E-01	-4.83E-02	-1.31E-01	-1.06E-01
2.6	7.39E-02	-2.75E-01	3.07E-01	-3.08E-01	-2.07E-01	-4.64E-02	-8.52E-02	-1.30E-01
2.7	4.97E-02	-0.28	2.94E-01	-3.22E-01	-2.15E-01	-3.64E-02	-1.38E-01	-2.40E-01
2.8	3.08E-02	-2.82E-01	2.80E-01	-3.56E-01	-1.99E-01	-1.23E-02	-2.84E-01	-4.16E-01
2.9	9.89E-03	-2.83E-01	2.37E-01	-4.06E-01	-1.91E-01	-1.42E-03	-5.33E-01	-5.11E-01
3	-7.34E-03	-2.82E-01	1.73E-01	-4.58E-01	-1.56E-01	1.04E-02	-5.50E-01	-5.24E-01
3.1	-2.13E-02	-2.81E-01	1.27E-01	-5.10E-01	-9.23E-02	8.99E-03	-4.90E-01	-4.92E-01
3.2	-2.58E-02	-2.81E-01	7.49E-02	-5.56E-01	-1.99E-02	4.73E-04	-5.83E-01	-3.86E-01
3.3	-2.52E-02	-0.281	1.04E-02	-5.88E-01	3.26E-02	-5.68E-03	-6.73E-01	-2.07E-01
3.4	-1.93E-02	-2.82E-01	-5.96E-02	-5.97E-01	6.48E-02	-9.46E-03	-7.02E-01	9.49E-02
3.5	-1.23E-02	-2.82E-01	-1.30E-01	-5.69E-01	4.21E-02	-3.31E-03	-6.08E-01	3.83E-01
3.6	-1.08E-02	-2.82E-01	-1.81E-01	-5.21E-01	-2.03E-02	0.00E+00	-4.22E-01	5.10E-01
3.7	-1.63E-02	-0.282	-2.14E-01	-4.67E-01	-8.47E-02	7.10E-03	-2.85E-01	5.25E-01
3.8	-2.78E-02	-2.81E-01	-2.38E-01	-4.16E-01	-1.12E-01	1.66E-02	-0.197	4.71E-01
3.9	-3.88E-02	-2.79E-01	-2.54E-01	-3.72E-01	-1.16E-01	2.32E-02	-1.44E-01	3.90E-01
4	-5.10E-02	-2.76E-01	-2.67E-01	-3.38E-01	-1.15E-01	2.93E-02	-1.09E-01	3.16E-01
4.1	-6.18E-02	-2.73E-01	-2.75E-01	-3.09E-01	-1.10E-01	3.22E-02	-7.45E-02	2.44E-01
4.2	-7.30E-02	-0.27	-2.82E-01	-2.89E-01	-8.94E-02	2.37E-02	-6.48E-02	1.45E-01
4.3	-7.97E-02	-0.269	-2.88E-01	-2.80E-01	-5.30E-02	1.66E-02	-6.69E-02	4.92E-02
4.4	-8.36E-02	-0.267	-2.95E-01	-2.79E-01	-2.13E-02	9.94E-03	-5.68E-02	-2.46E-02
4.5	-8.40E-02	-0.267	-3.00E-01	-2.85E-01	1.33E-02	-2.37E-03	-4.54E-02	-9.84E-02
4.6	-8.10E-02	-0.267	-3.04E-01	-2.99E-01	4.26E-02	-1.33E-02	-2.70E-02	-1.82E-01
4.7	-7.55E-02	-0.269	-3.05E-01	-3.22E-01	5.58E-02	-2.08E-02	-1.42E-03	-2.69E-01
4.8	-6.98E-02	-0.271	-3.05E-01	-3.53E-01	6.48E-02	-2.13E-02	4.50E-02	-3.47E-01
4.9	-6.25E-02	-0.273	-2.96E-01	-3.91E-01	6.34E-02	-1.70E-02	1.15E-01	-4.23E-01
5	-5.71E-02	-0.275	-2.82E-01	-4.37E-01	4.87E-02	-1.37E-02	1.92E-01	-4.77E-01
5.1	-5.28E-02	-0.276	-2.58E-01	-4.86E-01	2.60E-02	-8.52E-03	3.27E-01	-4.92E-01
5.2	-5.19E-02	-0.276	-2.16E-01	-5.36E-01	-3.31E-03	9.46E-04	4.64E-01	-4.26E-01
5.3	-5.34E-02	-2.76E-01	-1.65E-01	-5.72E-01	-1.47E-02	2.37E-03	5.92E-01	-2.36E-01
5.4	-5.48E-02	-2.76E-01	-9.78E-02	-5.83E-01	5.68E-03	-9.46E-04	7.01E-01	-4.16E-02
5.5	-5.23E-02	-2.76E-01	-2.46E-02	-5.80E-01	5.54E-02	-1.04E-02	0.702	1.34E-01
5.6	-4.38E-02	-0.278	4.25E-02	-5.56E-01	1.16E-01	-1.89E-02	6.18E-01	2.69E-01
5.7	-2.90E-02	-0.28	9.91E-02	-5.26E-01	1.77E-01	-2.22E-02	5.75E-01	2.74E-01
5.8	-8.38E-03	-0.282	1.57E-01	-5.01E-01	2.03E-01	-1.42E-02	5.14E-01	2.67E-01
