#initial-angle1(-58)	#initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
0	-2.16E-01	-1.35E-01	-3.24E-01	-3.92E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.1	-2.14E-01	-1.39E-01	-3.24E-01	-3.97E-01	2.85E-02	-5.25E-02	9.49E-03	-6.71E-02
0.2	-2.10E-01	-1.45E-01	-3.22E-01	-4.06E-01	6.05E-02	-9.70E-02	2.44E-02	-1.26E-01
0.3	-2.02E-01	-1.58E-01	-3.19E-01	-4.22E-01	1.13E-01	-1.51E-01	4.75E-02	-1.88E-01
0.4	-1.87E-01	-0.176	-3.13E-01	-4.43E-01	1.80E-01	-1.95E-01	8.51E-02	-2.09E-01
0.5	-1.66E-01	-0.197	-3.02E-01	-4.64E-01	2.34E-01	-2.05E-01	1.41E-01	-2.39E-01
0.6	-1.40E-01	-2.17E-01	-2.85E-01	-4.91E-01	2.93E-01	-1.96E-01	2.12E-01	-2.17E-01
0.7	-1.07E-01	-2.36E-01	-2.60E-01	-5.07E-01	3.47E-01	-1.75E-01	3.12E-01	-1.27E-01
0.8	-7.11E-02	-2.52E-01	-0.222	-5.16E-01	3.90E-01	-1.21E-01	4.06E-01	-8.34E-02
0.9	-2.88E-02	-2.60E-01	-1.79E-01	-5.24E-01	3.98E-01	-6.05E-02	4.76E-01	-5.50E-02
1	8.63E-03	-2.64E-01	-1.27E-01	-5.27E-01	0.378	1.14E-03	5.46E-01	-2.21E-02
1.1	4.68E-02	-2.60E-01	-6.95E-02	-5.28E-01	0.273	3.31E-02	0.526	-2.31E-02
1.2	6.32E-02	-2.57E-01	-2.18E-02	-5.32E-01	0.215	5.37E-02	0.549	-2.93E-02
1.3	8.97E-02	-2.49E-01	4.04E-02	-5.34E-01	2.37E-01	7.99E-02	0.646	-2.05E-02
1.4	1.11E-01	-2.41E-01	1.07E-01	-5.36E-01	1.82E-01	7.76E-02	6.96E-01	1.14E-02
1.5	1.26E-01	-0.234	1.80E-01	-5.32E-01	1.28E-01	5.59E-02	7.04E-01	8.99E-02
1.6	1.36E-01	-0.23	2.48E-01	-5.18E-01	8.45E-02	3.65E-02	0.653	2.13E-01
1.7	1.43E-01	-0.227	3.10E-01	-4.89E-01	5.37E-02	2.63E-02	5.38E-01	3.39E-01
1.8	1.47E-01	-0.225	3.56E-01	-4.50E-01	2.40E-02	1.48E-02	3.90E-01	4.33E-01
